Title,video_id,director,int_production_company,agency,sa_service_co,year,Portfolio Categories,Portfolio Tags
PayPal  ‘Welcome to the PayPal Economy’,https://vimeo.com/1109113722,Leonardo Dalessandri,"Slim Pictures, Venice, CA","The Community, Miami",Atomik Pictures,20250101,Freelance producer,Commercials
CC&W ‘Sheet Cake Campaign’,https://vimeo.com/1111280175,Jörn Threlfall,"Film Deluxe, Berlin","Brand Lounge, Düsseldorf",Superkind,20241101,Freelance producer,Commercials
Lotus Biscoff Cookie ‘Family’,https://vimeo.com/1109113892,Ben Mege,"Caviar, Brussels","Dept. Brand and Advertising, Amsterdam        ",Superkind,20240301,Freelance producer,Commercials
Lotus Biscoff Spread ‘Office’        ,https://vimeo.com/1109115466,Ben Mege,"Caviar, Brussels","Dept. Brand and Advertising, Amsterdam        ",Superkind,20240301,Freelance producer,Commercials
Lotus Biscoff Sandwich Cookie ‘Park’,https://vimeo.com/1109115434,Ben Mege,"Caviar, Brussels","Dept. Brand and Advertising, Amsterdam        ",Superkind,20240301,Freelance producer,Commercials
Orange ‘The Wedding’,https://vimeo.com/1109115527,AJ Colomb,"Producteur Provocateur, Brussels","Publicis / Prodigious, Brussels",Superkind,20240101,Freelance producer,Commercials
Orange ‘The Restaurant’,https://vimeo.com/1109115489,AJ Colomb,"Producteur Provocateur, Brussels","Publicis / Prodigious, Brussels",Superkind,20240101,Freelance producer,Commercials
Heineken ‘Credentials’,https://vimeo.com/1109115568,Alex Feill,"Tempomedia, Hamburg","Le Pub, Milan",Giant Films,20231101,Freelance producer,Commercials
"Instax ‘Hi, I’m PAL",https://vimeo.com/1109115619,Pham and Barth,"Florence, Los Angeles","McCann, New York",Giant Films,20230601,Freelance producer,Commercials
META - Whatsapp ‘Introducing ChatLock’,https://vimeo.com/1109115659,Hernan Corera,"Stink, Los Angeles","META, USA",Stillking Films,20230401,Freelance producer,Commercials
Allianz ‘Walk of Mia’,https://vimeo.com/1109115722,Robin Polak / Sophia Wagner,"The Beauty Aside, Köln","BBDO, Germany",Juice Film,20230301,Freelance producer,Commercials
Allianz ‘Walk of Life’,https://vimeo.com/1109115692,Robin Polak / Sophia Wagner,"The Beauty Aside, Köln","BBDO, Germany",Juice Film,20230301,Freelance producer,Commercials
Harry Boy ‘Bling Bling Rappers’,https://vimeo.com/1109115834,TRAKTOR,"Giants and Toys, Stockholm","Åkestam Holst, Stockholm",Moonlighting,20220401,Freelance producer,Commercials
Harry Boy ‘The Very Best a Man Can Get’,https://vimeo.com/1109115795,TRAKTOR,"Giants and Toys, Stockholm","Åkestam Holst, Stockholm",Moonlighting,20220401,Freelance producer,Commercials
Harry Boy ‘Cool Dawg’,https://vimeo.com/1109115753,TRAKTOR,"Giants and Toys, Stockholm","Åkestam Holst, Stockholm",Moonlighting,20220401,Freelance producer,Commercials
Standard Chartered ‘Economic Inclusion’,https://vimeo.com/1109115872,JH Walker,"The Sweet Shop, Shanghai","TBWA, Singapore",Picture Tree,20211201,Freelance producer,Commercials
